round,function,dimensions,query,output,best_so_far,strategy
0,F1,2,initial_data,0.000,0.000,Initial observations
0,F2,2,initial_data,0.611,0.611,Initial observations
0,F3,3,initial_data,-0.035,-0.035,Initial observations
0,F4,4,initial_data,-4.030,-4.030,Initial observations
0,F5,4,initial_data,1088.860,1088.860,Initial observations
0,F6,5,initial_data,-0.710,-0.710,Initial observations
0,F7,6,initial_data,1.365,1.365,Initial observations
0,F8,8,initial_data,9.600,9.600,Initial observations
1,F1,2,0.000000-0.999999,0.000,0.000,Explore corner (0 1)
1,F2,2,0.999999-0.050505,-0.069,0.611,Explore opposite region
1,F3,3,0.999999-0.999999-0.000000,-0.161,-0.035,Explore corner
1,F4,4,0.400827-0.428837-0.398466-0.449225,-0.006,-0.006,Exploit promising region
1,F5,4,0.225929-0.841160-0.884257-0.888829,1139.170,1139.170,Exploit high-value region
1,F6,5,0.059926-0.042164-0.264883-0.999568-0.020803,-1.360,-0.710,Explore new region
1,F7,6,0.050000-0.500000-0.250000-0.200000-0.400000-0.750000,1.353,1.365,Fine-tune near best
1,F8,8,0.069392-0.052126-0.009451-0.005710-0.560896-0.321453-0.013713-0.233966,9.780,9.780,Exploit low-input region
2,F1,2,0.999999-0.000000,0.000,0.000,Explore opposite corner (1 0)
2,F2,2,0.750000-0.950000,0.334,0.611,Exploit near best
2,F3,3,0.500000-0.600000-0.200000,-0.122,-0.035,Exploit lower X3
2,F4,4,0.400000-0.430000-0.400000-0.450000,-0.037,-0.006,Refine excellent region
2,F5,4,0.220000-0.850000-0.890000-0.900000,1264.400,1264.400,Continue climbing
2,F6,5,0.730000-0.150000-0.730000-0.700000-0.050000,-0.737,-0.710,Return to best region
2,F7,6,0.055000-0.490000-0.245000-0.220000-0.420000-0.780000,1.271,1.365,Fine-tune
2,F8,8,0.060000-0.040000-0.010000-0.010000-0.550000-0.350000-0.015000-0.250000,9.787,9.787,Continue exploitation
3,F1,2,0.500000-0.500000,2.68e-09,2.68e-09,Explore interior/center
3,F2,2,0.700000-0.930000,0.651,0.651,Exploit original best region
3,F3,3,0.490000-0.610000-0.340000,-0.033,-0.033,Match original best
3,F4,4,0.410000-0.440000-0.410000-0.460000,-0.338,-0.006,Small perturbation
3,F5,4,0.210000-0.860000-0.900000-0.920000,1484.130,1484.130,Push X3 X4 higher
3,F6,5,0.720000-0.140000-0.720000-0.710000-0.040000,-0.678,-0.678,Fine-tune success
3,F7,6,0.045000-0.510000-0.255000-0.180000-0.380000-0.720000,1.390,1.390,Reverse direction
3,F8,8,0.055000-0.035000-0.008000-0.008000-0.540000-0.360000-0.012000-0.260000,9.782,9.787,Maintain low inputs
4,F1,2,0.400000-0.600000,1.45e-23,2.68e-09,Explore near first signal
4,F2,2,0.690000-0.940000,0.639,0.651,Fine-tune new best
4,F3,3,0.485000-0.615000-0.345000,-0.031,-0.031,Refine new best
4,F4,4,0.400000-0.428000-0.398000-0.449000,-0.003,-0.003,Revert to R1 success
4,F5,4,0.200000-0.870000-0.910000-0.950000,1808.330,1808.330,Continue climbing
4,F6,5,0.710000-0.130000-0.710000-0.720000-0.030000,-0.680,-0.678,Continue improvement
4,F7,6,0.040000-0.520000-0.265000-0.160000-0.360000-0.700000,1.376,1.390,Continue reversal
4,F8,8,0.050000-0.030000-0.006000-0.006000-0.535000-0.365000-0.010000-0.265000,9.777,9.787,Small adjustment
5,F1,2,0.600000-0.400000,1.45e-23,2.68e-09,Follow gradient from center
5,F2,2,0.710000-0.920000,0.556,0.651,Counter R4 negative gradient
5,F3,3,0.480000-0.620000-0.350000,-0.034,-0.031,Continue successful direction
5,F4,4,0.398000-0.430000-0.400000-0.448000,0.016,0.016,Fine-tune - FIRST POSITIVE
5,F5,4,0.190000-0.880000-0.930000-0.980000,2270.740,2270.740,Push toward upper bounds
5,F6,5,0.700000-0.100000-0.700000-0.730000-0.010000,-0.725,-0.678,Escape plateau
5,F7,6,0.045000-0.510000-0.255000-0.180000-0.380000-0.720000,1.390,1.390,Revert to R3 best
5,F8,8,0.055000-0.035000-0.008000-0.008000-0.545000-0.355000-0.012000-0.258000,9.782,9.787,Adjust X5/X6 balance
